,fname,emotion,intensivity,statement,repetition,actor,sex
86,03-01-01-01-02-02-15,neutral,normal,dogs,2,15,male
87,03-01-01-01-02-02-16,neutral,normal,dogs,2,16,female
88,03-01-01-01-02-02-17,neutral,normal,dogs,2,17,male
89,03-01-01-01-02-02-18,neutral,normal,dogs,2,18,female
90,03-01-01-01-02-02-19,neutral,normal,dogs,2,19,male
91,03-01-01-01-02-02-20,neutral,normal,dogs,2,20,female
92,03-01-01-01-02-02-21,neutral,normal,dogs,2,21,male
93,03-01-01-01-02-02-22,neutral,normal,dogs,2,22,female
94,03-01-01-01-02-02-23,neutral,normal,dogs,2,23,male
95,03-01-01-01-02-02-24,neutral,normal,dogs,2,24,female
96,03-01-02-01-01-01-01,calm,normal,kids,1,1,male
97,03-01-02-01-01-01-02,calm,normal,kids,1,2,female
98,03-01-02-01-01-01-03,calm,normal,kids,1,3,male
99,03-01-02-01-01-01-04,calm,normal,kids,1,4,female
100,03-01-02-01-01-01-05,calm,normal,kids,1,5,male
101,03-01-02-01-01-01-06,calm,normal,kids,1,6,female
102,03-01-02-01-01-01-07,calm,normal,kids,1,7,male
103,03-01-02-01-01-01-08,calm,normal,kids,1,8,female
104,03-01-02-01-01-01-09,calm,normal,kids,1,9,male
105,03-01-02-01-01-01-10,calm,normal,kids,1,10,female
106,03-01-02-01-01-01-11,calm,normal,kids,1,11,male
107,03-01-02-01-01-01-12,calm,normal,kids,1,12,female
108,03-01-02-01-01-01-13,calm,normal,kids,1,13,male
109,03-01-02-01-01-01-14,calm,normal,kids,1,14,female
110,03-01-02-01-01-01-15,calm,normal,kids,1,15,male
111,03-01-02-01-01-01-16,calm,normal,kids,1,16,female
112,03-01-02-01-01-01-17,calm,normal,kids,1,17,male
113,03-01-02-01-01-01-18,calm,normal,kids,1,18,female
114,03-01-02-01-01-01-19,calm,normal,kids,1,19,male
115,03-01-02-01-01-01-20,calm,normal,kids,1,20,female
116,03-01-02-01-01-01-21,calm,normal,kids,1,21,male
117,03-01-02-01-01-01-22,calm,normal,kids,1,22,female
118,03-01-02-01-01-01-23,calm,normal,kids,1,23,male
119,03-01-02-01-01-01-24,calm,normal,kids,1,24,female
120,03-01-02-01-01-02-01,calm,normal,kids,2,1,male
121,03-01-02-01-01-02-02,calm,normal,kids,2,2,female
122,03-01-02-01-01-02-03,calm,normal,kids,2,3,male
123,03-01-02-01-01-02-04,calm,normal,kids,2,4,female
124,03-01-02-01-01-02-05,calm,normal,kids,2,5,male
125,03-01-02-01-01-02-06,calm,normal,kids,2,6,female
126,03-01-02-01-01-02-07,calm,normal,kids,2,7,male
127,03-01-02-01-01-02-08,calm,normal,kids,2,8,female
128,03-01-02-01-01-02-09,calm,normal,kids,2,9,male
129,03-01-02-01-01-02-10,calm,normal,kids,2,10,female
130,03-01-02-01-01-02-11,calm,normal,kids,2,11,male
131,03-01-02-01-01-02-12,calm,normal,kids,2,12,female
132,03-01-02-01-01-02-13,calm,normal,kids,2,13,male
133,03-01-02-01-01-02-14,calm,normal,kids,2,14,female
134,03-01-02-01-01-02-15,calm,normal,kids,2,15,male
135,03-01-02-01-01-02-16,calm,normal,kids,2,16,female
136,03-01-02-01-01-02-17,calm,normal,kids,2,17,male
137,03-01-02-01-01-02-18,calm,normal,kids,2,18,female
138,03-01-02-01-01-02-19,calm,normal,kids,2,19,male
139,03-01-02-01-01-02-20,calm,normal,kids,2,20,female
140,03-01-02-01-01-02-21,calm,normal,kids,2,21,male
141,03-01-02-01-01-02-22,calm,normal,kids,2,22,female
142,03-01-02-01-01-02-23,calm,normal,kids,2,23,male
143,03-01-02-01-01-02-24,calm,normal,kids,2,24,female
144,03-01-02-01-02-01-01,calm,normal,dogs,1,1,male
145,03-01-02-01-02-01-02,calm,normal,dogs,1,2,female
146,03-01-02-01-02-01-03,calm,normal,dogs,1,3,male
147,03-01-02-01-02-01-04,calm,normal,dogs,1,4,female
148,03-01-02-01-02-01-05,calm,normal,dogs,1,5,male
149,03-01-02-01-02-01-06,calm,normal,dogs,1,6,female
150,03-01-02-01-02-01-07,calm,normal,dogs,1,7,male
151,03-01-02-01-02-01-08,calm,normal,dogs,1,8,female
152,03-01-02-01-02-01-09,calm,normal,dogs,1,9,male
153,03-01-02-01-02-01-10,calm,normal,dogs,1,10,female
154,03-01-02-01-02-01-11,calm,normal,dogs,1,11,male
155,03-01-02-01-02-01-12,calm,normal,dogs,1,12,female
156,03-01-02-01-02-01-13,calm,normal,dogs,1,13,male
157,03-01-02-01-02-01-14,calm,normal,dogs,1,14,female
158,03-01-02-01-02-01-15,calm,normal,dogs,1,15,male
159,03-01-02-01-02-01-16,calm,normal,dogs,1,16,female
160,03-01-02-01-02-01-17,calm,normal,dogs,1,17,male
161,03-01-02-01-02-01-18,calm,normal,dogs,1,18,female
162,03-01-02-01-02-01-19,calm,normal,dogs,1,19,male
163,03-01-02-01-02-01-20,calm,normal,dogs,1,20,female
164,03-01-02-01-02-01-21,calm,normal,dogs,1,21,male
165,03-01-02-01-02-01-22,calm,normal,dogs,1,22,female
166,03-01-02-01-02-01-23,calm,normal,dogs,1,23,male
167,03-01-02-01-02-01-24,calm,normal,dogs,1,24,female
168,03-01-02-01-02-02-01,calm,normal,dogs,2,1,male
169,03-01-02-01-02-02-02,calm,normal,dogs,2,2,female
170,03-01-02-01-02-02-03,calm,normal,dogs,2,3,male
171,03-01-02-01-02-02-04,calm,normal,dogs,2,4,female
172,03-01-02-01-02-02-05,calm,normal,dogs,2,5,male
173,03-01-02-01-02-02-06,calm,normal,dogs,2,6,female
174,03-01-02-01-02-02-07,calm,normal,dogs,2,7,male
175,03-01-02-01-02-02-08,calm,normal,dogs,2,8,female
176,03-01-02-01-02-02-09,calm,normal,dogs,2,9,male
177,03-01-02-01-02-02-10,calm,normal,dogs,2,10,female
178,03-01-02-01-02-02-11,calm,normal,dogs,2,11,male
179,03-01-02-01-02-02-12,calm,normal,dogs,2,12,female
180,03-01-02-01-02-02-13,calm,normal,dogs,2,13,male
181,03-01-02-01-02-02-14,calm,normal,dogs,2,14,female
182,03-01-02-01-02-02-15,calm,normal,dogs,2,15,male
183,03-01-02-01-02-02-16,calm,normal,dogs,2,16,female
184,03-01-02-01-02-02-17,calm,normal,dogs,2,17,male
185,03-01-02-01-02-02-18,calm,normal,dogs,2,18,female
186,03-01-02-01-02-02-19,calm,normal,dogs,2,19,male
187,03-01-02-01-02-02-20,calm,normal,dogs,2,20,female
188,03-01-02-01-02-02-21,calm,normal,dogs,2,21,male
189,03-01-02-01-02-02-22,calm,normal,dogs,2,22,female
190,03-01-02-01-02-02-23,calm,normal,dogs,2,23,male
191,03-01-02-01-02-02-24,calm,normal,dogs,2,24,female
192,03-01-02-02-01-01-01,calm,strong,kids,1,1,male
193,03-01-02-02-01-01-02,calm,strong,kids,1,2,female
194,03-01-02-02-01-01-03,calm,strong,kids,1,3,male
195,03-01-02-02-01-01-04,calm,strong,kids,1,4,female
196,03-01-02-02-01-01-05,calm,strong,kids,1,5,male
197,03-01-02-02-01-01-06,calm,strong,kids,1,6,female
198,03-01-02-02-01-01-07,calm,strong,kids,1,7,male
199,03-01-02-02-01-01-08,calm,strong,kids,1,8,female
200,03-01-02-02-01-01-09,calm,strong,kids,1,9,male
201,03-01-02-02-01-01-10,calm,strong,kids,1,10,female
202,03-01-02-02-01-01-11,calm,strong,kids,1,11,male
203,03-01-02-02-01-01-12,calm,strong,kids,1,12,female
204,03-01-02-02-01-01-13,calm,strong,kids,1,13,male
205,03-01-02-02-01-01-14,calm,strong,kids,1,14,female
206,03-01-02-02-01-01-15,calm,strong,kids,1,15,male
207,03-01-02-02-01-01-16,calm,strong,kids,1,16,female
208,03-01-02-02-01-01-17,calm,strong,kids,1,17,male
209,03-01-02-02-01-01-18,calm,strong,kids,1,18,female
210,03-01-02-02-01-01-19,calm,strong,kids,1,19,male
211,03-01-02-02-01-01-20,calm,strong,kids,1,20,female
212,03-01-02-02-01-01-21,calm,strong,kids,1,21,male
213,03-01-02-02-01-01-22,calm,strong,kids,1,22,female
214,03-01-02-02-01-01-23,calm,strong,kids,1,23,male
215,03-01-02-02-01-01-24,calm,strong,kids,1,24,female
216,03-01-02-02-01-02-01,calm,strong,kids,2,1,male
217,03-01-02-02-01-02-02,calm,strong,kids,2,2,female
218,03-01-02-02-01-02-03,calm,strong,kids,2,3,male
219,03-01-02-02-01-02-04,calm,strong,kids,2,4,female
220,03-01-02-02-01-02-05,calm,strong,kids,2,5,male
221,03-01-02-02-01-02-06,calm,strong,kids,2,6,female
222,03-01-02-02-01-02-07,calm,strong,kids,2,7,male
223,03-01-02-02-01-02-08,calm,strong,kids,2,8,female
224,03-01-02-02-01-02-09,calm,strong,kids,2,9,male
225,03-01-02-02-01-02-10,calm,strong,kids,2,10,female
226,03-01-02-02-01-02-11,calm,strong,kids,2,11,male
227,03-01-02-02-01-02-12,calm,strong,kids,2,12,female
228,03-01-02-02-01-02-13,calm,strong,kids,2,13,male
229,03-01-02-02-01-02-14,calm,strong,kids,2,14,female
230,03-01-02-02-01-02-15,calm,strong,kids,2,15,male
231,03-01-02-02-01-02-16,calm,strong,kids,2,16,female
232,03-01-02-02-01-02-17,calm,strong,kids,2,17,male
233,03-01-02-02-01-02-18,calm,strong,kids,2,18,female
234,03-01-02-02-01-02-19,calm,strong,kids,2,19,male
235,03-01-02-02-01-02-20,calm,strong,kids,2,20,female
236,03-01-02-02-01-02-21,calm,strong,kids,2,21,male
237,03-01-02-02-01-02-22,calm,strong,kids,2,22,female
238,03-01-02-02-01-02-23,calm,strong,kids,2,23,male
239,03-01-02-02-01-02-24,calm,strong,kids,2,24,female
240,03-01-02-02-02-01-01,calm,strong,dogs,1,1,male
241,03-01-02-02-02-01-02,calm,strong,dogs,1,2,female
242,03-01-02-02-02-01-03,calm,strong,dogs,1,3,male
243,03-01-02-02-02-01-04,calm,strong,dogs,1,4,female
244,03-01-02-02-02-01-05,calm,strong,dogs,1,5,male
245,03-01-02-02-02-01-06,calm,strong,dogs,1,6,female
246,03-01-02-02-02-01-07,calm,strong,dogs,1,7,male
247,03-01-02-02-02-01-08,calm,strong,dogs,1,8,female
248,03-01-02-02-02-01-09,calm,strong,dogs,1,9,male
249,03-01-02-02-02-01-10,calm,strong,dogs,1,10,female
250,03-01-02-02-02-01-11,calm,strong,dogs,1,11,male
251,03-01-02-02-02-01-12,calm,strong,dogs,1,12,female
252,03-01-02-02-02-01-13,calm,strong,dogs,1,13,male
253,03-01-02-02-02-01-14,calm,strong,dogs,1,14,female
254,03-01-02-02-02-01-15,calm,strong,dogs,1,15,male
255,03-01-02-02-02-01-16,calm,strong,dogs,1,16,female
256,03-01-02-02-02-01-17,calm,strong,dogs,1,17,male
257,03-01-02-02-02-01-18,calm,strong,dogs,1,18,female
258,03-01-02-02-02-01-19,calm,strong,dogs,1,19,male
259,03-01-02-02-02-01-20,calm,strong,dogs,1,20,female
260,03-01-02-02-02-01-21,calm,strong,dogs,1,21,male
261,03-01-02-02-02-01-22,calm,strong,dogs,1,22,female
262,03-01-02-02-02-01-23,calm,strong,dogs,1,23,male
263,03-01-02-02-02-01-24,calm,strong,dogs,1,24,female
264,03-01-02-02-02-02-01,calm,strong,dogs,2,1,male
265,03-01-02-02-02-02-02,calm,strong,dogs,2,2,female
266,03-01-02-02-02-02-03,calm,strong,dogs,2,3,male
267,03-01-02-02-02-02-04,calm,strong,dogs,2,4,female
268,03-01-02-02-02-02-05,calm,strong,dogs,2,5,male
269,03-01-02-02-02-02-06,calm,strong,dogs,2,6,female
270,03-01-02-02-02-02-07,calm,strong,dogs,2,7,male
271,03-01-02-02-02-02-08,calm,strong,dogs,2,8,female
272,03-01-02-02-02-02-09,calm,strong,dogs,2,9,male
273,03-01-02-02-02-02-10,calm,strong,dogs,2,10,female
274,03-01-02-02-02-02-11,calm,strong,dogs,2,11,male
275,03-01-02-02-02-02-12,calm,strong,dogs,2,12,female
276,03-01-02-02-02-02-13,calm,strong,dogs,2,13,male
277,03-01-02-02-02-02-14,calm,strong,dogs,2,14,female
278,03-01-02-02-02-02-15,calm,strong,dogs,2,15,male
279,03-01-02-02-02-02-16,calm,strong,dogs,2,16,female
280,03-01-02-02-02-02-17,calm,strong,dogs,2,17,male
281,03-01-02-02-02-02-18,calm,strong,dogs,2,18,female
282,03-01-02-02-02-02-19,calm,strong,dogs,2,19,male
283,03-01-02-02-02-02-20,calm,strong,dogs,2,20,female
284,03-01-02-02-02-02-21,calm,strong,dogs,2,21,male
285,03-01-02-02-02-02-22,calm,strong,dogs,2,22,female
286,03-01-02-02-02-02-23,calm,strong,dogs,2,23,male
287,03-01-02-02-02-02-24,calm,strong,dogs,2,24,female
288,03-01-03-01-01-01-01,happy,normal,kids,1,1,male
289,03-01-03-01-01-01-02,happy,normal,kids,1,2,female
290,03-01-03-01-01-01-03,happy,normal,kids,1,3,male
291,03-01-03-01-01-01-04,happy,normal,kids,1,4,female
292,03-01-03-01-01-01-05,happy,normal,kids,1,5,male
293,03-01-03-01-01-01-06,happy,normal,kids,1,6,female
294,03-01-03-01-01-01-07,happy,normal,kids,1,7,male
295,03-01-03-01-01-01-08,happy,normal,kids,1,8,female
296,03-01-03-01-01-01-09,happy,normal,kids,1,9,male
297,03-01-03-01-01-01-10,happy,normal,kids,1,10,female
298,03-01-03-01-01-01-11,happy,normal,kids,1,11,male
299,03-01-03-01-01-01-12,happy,normal,kids,1,12,female
300,03-01-03-01-01-01-13,happy,normal,kids,1,13,male
301,03-01-03-01-01-01-14,happy,normal,kids,1,14,female
302,03-01-03-01-01-01-15,happy,normal,kids,1,15,male
303,03-01-03-01-01-01-16,happy,normal,kids,1,16,female
304,03-01-03-01-01-01-17,happy,normal,kids,1,17,male
305,03-01-03-01-01-01-18,happy,normal,kids,1,18,female
306,03-01-03-01-01-01-19,happy,normal,kids,1,19,male
307,03-01-03-01-01-01-20,happy,normal,kids,1,20,female
308,03-01-03-01-01-01-21,happy,normal,kids,1,21,male
309,03-01-03-01-01-01-22,happy,normal,kids,1,22,female
310,03-01-03-01-01-01-23,happy,normal,kids,1,23,male
311,03-01-03-01-01-01-24,happy,normal,kids,1,24,female
312,03-01-03-01-01-02-01,happy,normal,kids,2,1,male
313,03-01-03-01-01-02-02,happy,normal,kids,2,2,female
314,03-01-03-01-01-02-03,happy,normal,kids,2,3,male
315,03-01-03-01-01-02-04,happy,normal,kids,2,4,female
316,03-01-03-01-01-02-05,happy,normal,kids,2,5,male
317,03-01-03-01-01-02-06,happy,normal,kids,2,6,female
318,03-01-03-01-01-02-07,happy,normal,kids,2,7,male
319,03-01-03-01-01-02-08,happy,normal,kids,2,8,female
320,03-01-03-01-01-02-09,happy,normal,kids,2,9,male
321,03-01-03-01-01-02-10,happy,normal,kids,2,10,female
322,03-01-03-01-01-02-11,happy,normal,kids,2,11,male
323,03-01-03-01-01-02-12,happy,normal,kids,2,12,female
324,03-01-03-01-01-02-13,happy,normal,kids,2,13,male
325,03-01-03-01-01-02-14,happy,normal,kids,2,14,female
326,03-01-03-01-01-02-15,happy,normal,kids,2,15,male
327,03-01-03-01-01-02-16,happy,normal,kids,2,16,female
328,03-01-03-01-01-02-17,happy,normal,kids,2,17,male
329,03-01-03-01-01-02-18,happy,normal,kids,2,18,female
330,03-01-03-01-01-02-19,happy,normal,kids,2,19,male
331,03-01-03-01-01-02-20,happy,normal,kids,2,20,female
332,03-01-03-01-01-02-21,happy,normal,kids,2,21,male
333,03-01-03-01-01-02-22,happy,normal,kids,2,22,female
334,03-01-03-01-01-02-23,happy,normal,kids,2,23,male
335,03-01-03-01-01-02-24,happy,normal,kids,2,24,female
336,03-01-03-01-02-01-01,happy,normal,dogs,1,1,male
337,03-01-03-01-02-01-02,happy,normal,dogs,1,2,female
338,03-01-03-01-02-01-03,happy,normal,dogs,1,3,male
339,03-01-03-01-02-01-04,happy,normal,dogs,1,4,female
340,03-01-03-01-02-01-05,happy,normal,dogs,1,5,male
341,03-01-03-01-02-01-06,happy,normal,dogs,1,6,female
342,03-01-03-01-02-01-07,happy,normal,dogs,1,7,male
343,03-01-03-01-02-01-08,happy,normal,dogs,1,8,female
344,03-01-03-01-02-01-09,happy,normal,dogs,1,9,male
345,03-01-03-01-02-01-10,happy,normal,dogs,1,10,female
346,03-01-03-01-02-01-11,happy,normal,dogs,1,11,male
347,03-01-03-01-02-01-12,happy,normal,dogs,1,12,female
348,03-01-03-01-02-01-13,happy,normal,dogs,1,13,male
349,03-01-03-01-02-01-14,happy,normal,dogs,1,14,female
350,03-01-03-01-02-01-15,happy,normal,dogs,1,15,male
351,03-01-03-01-02-01-16,happy,normal,dogs,1,16,female
352,03-01-03-01-02-01-17,happy,normal,dogs,1,17,male
353,03-01-03-01-02-01-18,happy,normal,dogs,1,18,female
354,03-01-03-01-02-01-19,happy,normal,dogs,1,19,male
355,03-01-03-01-02-01-20,happy,normal,dogs,1,20,female
356,03-01-03-01-02-01-21,happy,normal,dogs,1,21,male
357,03-01-03-01-02-01-22,happy,normal,dogs,1,22,female
358,03-01-03-01-02-01-23,happy,normal,dogs,1,23,male
359,03-01-03-01-02-01-24,happy,normal,dogs,1,24,female
360,03-01-03-01-02-02-01,happy,normal,dogs,2,1,male
361,03-01-03-01-02-02-02,happy,normal,dogs,2,2,female
362,03-01-03-01-02-02-03,happy,normal,dogs,2,3,male
363,03-01-03-01-02-02-04,happy,normal,dogs,2,4,female
364,03-01-03-01-02-02-05,happy,normal,dogs,2,5,male
365,03-01-03-01-02-02-06,happy,normal,dogs,2,6,female
366,03-01-03-01-02-02-07,happy,normal,dogs,2,7,male
367,03-01-03-01-02-02-08,happy,normal,dogs,2,8,female
368,03-01-03-01-02-02-09,happy,normal,dogs,2,9,male
369,03-01-03-01-02-02-10,happy,normal,dogs,2,10,female
370,03-01-03-01-02-02-11,happy,normal,dogs,2,11,male
371,03-01-03-01-02-02-12,happy,normal,dogs,2,12,female
372,03-01-03-01-02-02-13,happy,normal,dogs,2,13,male
373,03-01-03-01-02-02-14,happy,normal,dogs,2,14,female
374,03-01-03-01-02-02-15,happy,normal,dogs,2,15,male
375,03-01-03-01-02-02-16,happy,normal,dogs,2,16,female
376,03-01-03-01-02-02-17,happy,normal,dogs,2,17,male
377,03-01-03-01-02-02-18,happy,normal,dogs,2,18,female
378,03-01-03-01-02-02-19,happy,normal,dogs,2,19,male
379,03-01-03-01-02-02-20,happy,normal,dogs,2,20,female
380,03-01-03-01-02-02-21,happy,normal,dogs,2,21,male
381,03-01-03-01-02-02-22,happy,normal,dogs,2,22,female
382,03-01-03-01-02-02-23,happy,normal,dogs,2,23,male
383,03-01-03-01-02-02-24,happy,normal,dogs,2,24,female
384,03-01-03-02-01-01-01,happy,strong,kids,1,1,male
385,03-01-03-02-01-01-02,happy,strong,kids,1,2,female
386,03-01-03-02-01-01-03,happy,strong,kids,1,3,male
387,03-01-03-02-01-01-04,happy,strong,kids,1,4,female
388,03-01-03-02-01-01-05,happy,strong,kids,1,5,male
389,03-01-03-02-01-01-06,happy,strong,kids,1,6,female
390,03-01-03-02-01-01-07,happy,strong,kids,1,7,male
391,03-01-03-02-01-01-08,happy,strong,kids,1,8,female
392,03-01-03-02-01-01-09,happy,strong,kids,1,9,male
393,03-01-03-02-01-01-10,happy,strong,kids,1,10,female
394,03-01-03-02-01-01-11,happy,strong,kids,1,11,male
395,03-01-03-02-01-01-12,happy,strong,kids,1,12,female
396,03-01-03-02-01-01-13,happy,strong,kids,1,13,male
397,03-01-03-02-01-01-14,happy,strong,kids,1,14,female
398,03-01-03-02-01-01-15,happy,strong,kids,1,15,male
399,03-01-03-02-01-01-16,happy,strong,kids,1,16,female
400,03-01-03-02-01-01-17,happy,strong,kids,1,17,male
401,03-01-03-02-01-01-18,happy,strong,kids,1,18,female
402,03-01-03-02-01-01-19,happy,strong,kids,1,19,male
403,03-01-03-02-01-01-20,happy,strong,kids,1,20,female
404,03-01-03-02-01-01-21,happy,strong,kids,1,21,male
405,03-01-03-02-01-01-22,happy,strong,kids,1,22,female
406,03-01-03-02-01-01-23,happy,strong,kids,1,23,male
407,03-01-03-02-01-01-24,happy,strong,kids,1,24,female
408,03-01-03-02-01-02-01,happy,strong,kids,2,1,male
409,03-01-03-02-01-02-02,happy,strong,kids,2,2,female
410,03-01-03-02-01-02-03,happy,strong,kids,2,3,male
411,03-01-03-02-01-02-04,happy,strong,kids,2,4,female
412,03-01-03-02-01-02-05,happy,strong,kids,2,5,male
413,03-01-03-02-01-02-06,happy,strong,kids,2,6,female
414,03-01-03-02-01-02-07,happy,strong,kids,2,7,male
415,03-01-03-02-01-02-08,happy,strong,kids,2,8,female
416,03-01-03-02-01-02-09,happy,strong,kids,2,9,male
417,03-01-03-02-01-02-10,happy,strong,kids,2,10,female
418,03-01-03-02-01-02-11,happy,strong,kids,2,11,male
419,03-01-03-02-01-02-12,happy,strong,kids,2,12,female
420,03-01-03-02-01-02-13,happy,strong,kids,2,13,male
421,03-01-03-02-01-02-14,happy,strong,kids,2,14,female
422,03-01-03-02-01-02-15,happy,strong,kids,2,15,male
423,03-01-03-02-01-02-16,happy,strong,kids,2,16,female
424,03-01-03-02-01-02-17,happy,strong,kids,2,17,male
425,03-01-03-02-01-02-18,happy,strong,kids,2,18,female
426,03-01-03-02-01-02-19,happy,strong,kids,2,19,male
427,03-01-03-02-01-02-20,happy,strong,kids,2,20,female
428,03-01-03-02-01-02-21,happy,strong,kids,2,21,male
429,03-01-03-02-01-02-22,happy,strong,kids,2,22,female
430,03-01-03-02-01-02-23,happy,strong,kids,2,23,male
431,03-01-03-02-01-02-24,happy,strong,kids,2,24,female
432,03-01-03-02-02-01-01,happy,strong,dogs,1,1,male
433,03-01-03-02-02-01-02,happy,strong,dogs,1,2,female
434,03-01-03-02-02-01-03,happy,strong,dogs,1,3,male
435,03-01-03-02-02-01-04,happy,strong,dogs,1,4,female
436,03-01-03-02-02-01-05,happy,strong,dogs,1,5,male
437,03-01-03-02-02-01-06,happy,strong,dogs,1,6,female
438,03-01-03-02-02-01-07,happy,strong,dogs,1,7,male
439,03-01-03-02-02-01-08,happy,strong,dogs,1,8,female
